Seriation_Number	Assemblage	Parkin_Punctated	Barton/Kent/MPI	Painted	Fortune_Noded	Ranch_Incised	Walls_Engraved	Wallace_Incised	Rhodes_Incised	Vernon_Paul_Applique	Hull_Engraved
1	10-P-1	39	62	46	0	0	0	0	0	0	6
1	13-O-10	60	74	79	0	2	8	0	2	0	0
1	11-N-9	528	198	13	0	19	0	0	0	0	0

2	11-N-1	865	323	59	17	35	0	0	0	4	0
2	12-N-3	549	328	77	19	4	0	3	1	2	0
2	10-P-1	39	62	46	0	0	0	0	0	0	6

3	12-O-5	204	156	42	7	8	4	2	1	0	0
3	13-O-5	923	637	42	12	33	27	14	13	5	2
3	11-N-9	528	198	13	0	19	0	0	0	0	0

4	11-N-4	764	470	18	5	9	0	0	0	0	0
4	13-O-5	923	637	42	12	33	27	14	13	5	2
4	13-O-10	60	74	79	0	2	8	0	2	0	0

5	11-N-4	764	470	18	5	9	0	0	0	0	0
5	12-O-5	204	156	42	7	8	4	2	1	0	0
5	13-O-10	60	74	79	0	2	8	0	2	0	0

6	11-N-4	764	470	18	5	9	0	0	0	0	0
6	12-O-5	204	156	42	7	8	4	2	1	0	0
6	10-P-1	39	62	46	0	0	0	0	0	0	6

7	13-N-5	35	11	33	0	0	0	0	0	0	0
7	12-N-3	549	328	77	19	4	0	3	1	2	0
7	11-N-9	528	198	13	0	19	0	0	0	0	0

8	13-N-5	35	11	33	0	0	0	0	0	0	0
8	12-N-3	549	328	77	19	4	0	3	1	2	0
8	11-O-10	404	208	6	16	4	0	0	0	0	0

9	13-N-5	35	11	33	0	0	0	0	0	0	0
9	11-N-1	865	323	59	17	35	0	0	0	4	0
9	11-N-9	528	198	13	0	19	0	0	0	0	0

10	13-N-5	35	11	33	0	0	0	0	0	0	0
10	11-N-1	865	323	59	17	35	0	0	0	4	0
10	11-O-10	404	208	6	16	4	0	0	0	0	0

11	13-N-5	35	11	33	0	0	0	0	0	0	0
11	13-O-5	923	637	42	12	33	27	14	13	5	2
11	11-N-9	528	198	13	0	19	0	0	0	0	0

12	13-N-5	35	11	33	0	0	0	0	0	0	0
12	13-O-5	923	637	42	12	33	27	14	13	5	2
12	11-O-10	404	208	6	16	4	0	0	0	0	0

13	13-N-5	35	11	33	0	0	0	0	0	0	0
13	12-O-5	204	156	42	7	8	4	2	1	0	0
13	11-N-9	528	198	13	0	19	0	0	0	0	0

14	13-N-5	35	11	33	0	0	0	0	0	0	0
14	12-O-5	204	156	42	7	8	4	2	1	0	0
14	11-O-10	404	208	6	16	4	0	0	0	0	0

15	13-N-5	35	11	33	0	0	0	0	0	0	0
15	12-O-5	204	156	42	7	8	4	2	1	0	0
15	12-N-3	549	328	77	19	4	0	3	1	2	0

16	13-N-5	35	11	33	0	0	0	0	0	0	0
16	12-O-5	204	156	42	7	8	4	2	1	0	0
16	11-N-1	865	323	59	17	35	0	0	0	4	0

17	13-N-5	35	11	33	0	0	0	0	0	0	0
17	12-O-5	204	156	42	7	8	4	2	1	0	0
17	13-O-5	923	637	42	12	33	27	14	13	5	2

18	13-N-5	35	11	33	0	0	0	0	0	0	0
18	11-N-4	764	470	18	5	9	0	0	0	0	0
18	11-O-10	404	208	6	16	4	0	0	0	0	0

19	13-N-4	71	67	96	0	3	4	0	0	0	0
19	13-O-5	923	637	42	12	33	27	14	13	5	2
19	11-N-9	528	198	13	0	19	0	0	0	0	0

20	13-N-4	71	67	96	0	3	4	0	0	0	0
20	13-O-5	923	637	42	12	33	27	14	13	5	2
20	11-O-10	404	208	6	16	4	0	0	0	0	0

21	13-N-4	71	67	96	0	3	4	0	0	0	0
21	12-O-5	204	156	42	7	8	4	2	1	0	0
21	11-N-9	528	198	13	0	19	0	0	0	0	0

22	13-N-4	71	67	96	0	3	4	0	0	0	0
22	12-O-5	204	156	42	7	8	4	2	1	0	0
22	11-O-10	404	208	6	16	4	0	0	0	0	0

23	13-N-4	71	67	96	0	3	4	0	0	0	0
23	12-O-5	204	156	42	7	8	4	2	1	0	0
23	12-N-3	549	328	77	19	4	0	3	1	2	0

24	13-N-4	71	67	96	0	3	4	0	0	0	0
24	12-O-5	204	156	42	7	8	4	2	1	0	0
24	11-N-1	865	323	59	17	35	0	0	0	4	0

25	13-N-4	71	67	96	0	3	4	0	0	0	0
25	11-N-4	764	470	18	5	9	0	0	0	0	0
25	11-O-10	404	208	6	16	4	0	0	0	0	0

26	13-P-1	244	40	18	1	16	21	0	14	0	6
26	11-N-1	865	323	59	17	35	0	0	0	4	0
26	11-O-10	404	208	6	16	4	0	0	0	0	0

27	13-O-7	590	498	67	10	21	19	12	8	7	1
27	13-O-5	923	637	42	12	33	27	14	13	5	2
27	11-N-9	528	198	13	0	19	0	0	0	0	0

28	13-O-7	590	498	67	10	21	19	12	8	7	1
28	12-O-5	204	156	42	7	8	4	2	1	0	0
28	11-N-9	528	198	13	0	19	0	0	0	0	0

29	13-O-7	590	498	67	10	21	19	12	8	7	1
29	12-O-5	204	156	42	7	8	4	2	1	0	0
29	11-O-10	404	208	6	16	4	0	0	0	0	0

30	13-P-10	30	15	12	0	12	12	0	7	2	1
30	11-N-1	865	323	59	17	35	0	0	0	4	0
30	11-N-9	528	198	13	0	19	0	0	0	0	0

31	13-P-10	30	15	12	0	12	12	0	7	2	1
31	11-N-1	865	323	59	17	35	0	0	0	4	0
31	11-O-10	404	208	6	16	4	0	0	0	0	0

32	13-P-10	30	15	12	0	12	12	0	7	2	1
32	13-O-5	923	637	42	12	33	27	14	13	5	2
32	11-O-10	404	208	6	16	4	0	0	0	0	0

33	13-P-10	30	15	12	0	12	12	0	7	2	1
33	12-O-5	204	156	42	7	8	4	2	1	0	0
33	11-O-10	404	208	6	16	4	0	0	0	0	0

34	13-P-10	30	15	12	0	12	12	0	7	2	1
34	11-N-4	764	470	18	5	9	0	0	0	0	0
34	11-O-10	404	208	6	16	4	0	0	0	0	0

35	13-P-10	30	15	12	0	12	12	0	7	2	1
35	13-O-7	590	498	67	10	21	19	12	8	7	1
35	11-O-10	404	208	6	16	4	0	0	0	0	0

36	13-P-10	30	15	12	0	12	12	0	7	2	1
36	13-O-7	590	498	67	10	21	19	12	8	7	1
36	11-N-4	764	470	18	5	9	0	0	0	0	0

37	Holden_Lake	27	294	7	24	2	0	2	1	3	0
37	13-O-10	60	74	79	0	2	8	0	2	0	0
37	11-N-9	528	198	13	0	19	0	0	0	0	0

38	Holden_Lake	27	294	7	24	2	0	2	1	3	0
38	12-N-3	549	328	77	19	4	0	3	1	2	0
38	11-N-9	528	198	13	0	19	0	0	0	0	0

39	Holden_Lake	27	294	7	24	2	0	2	1	3	0
39	13-O-5	923	637	42	12	33	27	14	13	5	2
39	11-N-9	528	198	13	0	19	0	0	0	0	0

40	Holden_Lake	27	294	7	24	2	0	2	1	3	0
40	13-O-5	923	637	42	12	33	27	14	13	5	2
40	13-O-10	60	74	79	0	2	8	0	2	0	0

41	Holden_Lake	27	294	7	24	2	0	2	1	3	0
41	12-O-5	204	156	42	7	8	4	2	1	0	0
41	11-N-9	528	198	13	0	19	0	0	0	0	0

42	Holden_Lake	27	294	7	24	2	0	2	1	3	0
42	12-O-5	204	156	42	7	8	4	2	1	0	0
42	13-O-10	60	74	79	0	2	8	0	2	0	0

43	Holden_Lake	27	294	7	24	2	0	2	1	3	0
43	13-N-4	71	67	96	0	3	4	0	0	0	0
43	11-N-9	528	198	13	0	19	0	0	0	0	0

44	Holden_Lake	27	294	7	24	2	0	2	1	3	0
44	13-N-4	71	67	96	0	3	4	0	0	0	0
44	13-N-5	35	11	33	0	0	0	0	0	0	0

45	Holden_Lake	27	294	7	24	2	0	2	1	3	0
45	13-O-7	590	498	67	10	21	19	12	8	7	1
45	11-N-9	528	198	13	0	19	0	0	0	0	0

46	Holden_Lake	27	294	7	24	2	0	2	1	3	0
46	13-O-7	590	498	67	10	21	19	12	8	7	1
46	13-O-10	60	74	79	0	2	8	0	2	0	0

47	Holden_Lake	27	294	7	24	2	0	2	1	3	0
47	13-O-7	590	498	67	10	21	19	12	8	7	1
47	11-N-4	764	470	18	5	9	0	0	0	0	0

48	Holden_Lake	27	294	7	24	2	0	2	1	3	0
48	13-O-7	590	498	67	10	21	19	12	8	7	1
48	13-N-5	35	11	33	0	0	0	0	0	0	0

49	Holden_Lake	27	294	7	24	2	0	2	1	3	0
49	13-O-7	590	498	67	10	21	19	12	8	7	1
49	13-N-4	71	67	96	0	3	4	0	0	0	0

50	Holden_Lake	27	294	7	24	2	0	2	1	3	0
50	13-P-10	30	15	12	0	12	12	0	7	2	1
50	13-N-5	35	11	33	0	0	0	0	0	0	0

51	13-O-11	35	65	24	0	0	2	0	1	0	1
51	13-O-10	60	74	79	0	2	8	0	2	0	0
51	11-N-9	528	198	13	0	19	0	0	0	0	0

52	13-O-11	35	65	24	0	0	2	0	1	0	1
52	10-P-1	39	62	46	0	0	0	0	0	0	6
52	11-N-9	528	198	13	0	19	0	0	0	0	0

53	13-O-11	35	65	24	0	0	2	0	1	0	1
53	12-N-3	549	328	77	19	4	0	3	1	2	0
53	11-N-9	528	198	13	0	19	0	0	0	0	0

54	13-O-11	35	65	24	0	0	2	0	1	0	1
54	12-N-3	549	328	77	19	4	0	3	1	2	0
54	11-O-10	404	208	6	16	4	0	0	0	0	0

55	13-O-11	35	65	24	0	0	2	0	1	0	1
55	13-O-5	923	637	42	12	33	27	14	13	5	2
55	11-N-9	528	198	13	0	19	0	0	0	0	0

56	13-O-11	35	65	24	0	0	2	0	1	0	1
56	13-O-5	923	637	42	12	33	27	14	13	5	2
56	11-O-10	404	208	6	16	4	0	0	0	0	0

57	13-O-11	35	65	24	0	0	2	0	1	0	1
